pruid,prname,prnameFR,date,reporting_week,reporting_year,update,numcases_total,numcases_weekly,ratecases_total,numdeaths_total,numdeaths_weekly,ratedeaths_total,ratecases_last7,ratedeaths_last7,numcases_last14,numdeaths_last14,ratecases_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
12,Nova Scotia,Nouvelle-Écosse,2020-03-21,12,2020,0,21,21,2.12,0,0,0,2.12,0.00,21,0,2.12,0,3.00,0.30,0.00,0.00
62,Nunavut,Nunavut,2020-03-21,12,2020,0,0,0,0.00,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
35,Ontario,Ontario,2020-03-21,12,2020,0,374,298,2.52,0,0,0,2.01,0.00,349,0,2.35,0,42.57,0.29,0.00,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-21,12,2020,0,2,2,1.22,0,0,0,1.22,0.00,2,0,1.22,0,0.29,0.17,0.00,0.00
24,Quebec,Québec,2020-03-21,12,2020,0,220,204,2.56,4,4,0.05,2.37,0.05,219,4,2.55,0.05,29.14,0.34,0.57,0.01
47,Saskatchewan,Saskatchewan,2020-03-21,12,2020,0,44,42,3.73,0,0,0,3.56,0.00,44,0,3.73,0,6.00,0.51,0.00,0.00
60,Yukon,Yukon,2020-03-21,12,2020,0,0,0,0.00,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
48,Alberta,Alberta,2020-03-28,13,2020,0,541,316,12.18,2,1,0.05,7.11,0.02,513,2,11.55,0.05,45.14,1.02,0.14,0.00
59,British Columbia,Colombie-Britannique,2020-03-28,13,2020,0,883,460,16.93,16,6,0.31,8.82,0.12,820,15,15.72,0.29,65.71,1.26,0.86,0.02
1,Canada,Canada,2020-03-28,13,2020,0,3504,2897,14.90,22,18,0.09,12.32,0.08,3411,22,14.5,0.09,413.86,1.76,2.57,0.01
46,Manitoba,Manitoba,2020-03-28,13,2020,0,64,45,4.63,1,1,0.07,3.25,0.07,60,1,4.34,0.07,6.43,0.46,0.14,0.01
13,New Brunswick,Nouveau-Brunswick,2020-03-28,13,2020,0,51,34,6.46,0,0,0,4.31,0.00,49,0,6.21,0,4.86,0.62,0.00,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-28,13,2020,0,120,114,23.05,0,0,0,21.90,0.00,120,0,23.05,0,16.29,3.13,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-28,13,2020,0,1,0,2.20,0,0,0,0.00,0.00,1,0,2.2,0,0.00,0.00,0.00,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-03-28,13,2020,0,110,89,11.09,0,0,0,8.97,0.00,110,0,11.09,0,12.71,1.28,0.00,0.00
62,Nunavut,Nunavut,2020-03-28,13,2020,0,0,0,0.00,0,0,0,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
35,Ontario,Ontario,2020-03-28,13,2020,0,990,616,6.68,0,0,0,4.15,0.00,914,0,6.16,0,88.00,0.59,0.00,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-28,13,2020,0,11,9,6.69,0,0,0,5.48,0.00,11,0,6.69,0,1.29,0.78,0.00,0.00
24,Quebec,Québec,2020-03-28,13,2020,0,2497,2277,29.02,22,18,0.26,26.46,0.21,2481,22,28.83,0.26,325.29,3.78,2.57,0.03
47,Saskatchewan,Saskatchewan,2020-03-28,13,2020,0,134,90,11.36,0,0,0,7.63,0.00,132,0,11.19,0,12.86,1.09,0.00,0.00
60,Yukon,Yukon,2020-03-28,13,2020,0,4,4,9.31,0,0,0,9.31,0.00,4,0,9.31,0,0.57,1.33,0.00,0.00
48,Alberta,Alberta,2020-04-04,14,2020,0,1074,533,24.17,18,16,0.41,12.00,0.36,849,17,19.11,0.38,76.14,1.71,2.29,0.05
59,British Columbia,Colombie-Britannique,2020-04-04,14,2020,0,1202,319,23.05,38,22,0.73,6.12,0.42,779,28,14.94,0.54,45.57,0.87,3.14,0.06
1,Canada,Canada,2020-04-04,14,2020,0,10645,7141,45.26,169,147,0.72,30.36,0.63,10038,165,42.68,0.7,1020.14,4.34,21.00,0.09
46,Manitoba,Manitoba,2020-04-04,14,2020,0,194,130,14.02,2,1,0.14,9.39,0.07,175,2,12.65,0.14,18.57,1.34,0.14,0.01
13,New Brunswick,Nouveau-Brunswick,2020-04-04,14,2020,0,98,47,12.42,0,0,0,5.96,0.00,81,0,10.26,0,6.71,0.85,0.00,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-04-04,14,2020,0,195,75,37.46,1,1,0.19,14.41,0.19,189,1,36.31,0.19,10.71,2.06,0.14,0.03
61,Northwest Territories,Territoires du Nord-Ouest,2020-04-04,14,2020,0,4,3,8.79,0,0,0,6.59,0.00,3,0,6.59,0,0.43,0.94,0.00,0.00
