pruid,prname,prnameFR,date,reporting_week,reporting_year,update,numcases_total,numcases_weekly,ratecases_total,numdeaths_total,numdeaths_weekly,ratedeaths_total,ratecases_last7,ratedeaths_last7,numcases_last14,numdeaths_last14,ratecases_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
35,Ontario,Ontario,2022-03-19,11,2022,0,1136521,12812,7665.59,12329,82,83.16,86.41,0.55,25098,267,169.28,1.8,1830.29,12.34,11.71,0.08
24,Quebec,Québec,2022-03-19,11,2022,0,942282,7660,10951.04,14245,91,165.55,89.02,1.06,14152,169,164.47,1.96,1094.29,12.72,13.00,0.15
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2022-03-19,11,2022,0,33834,3734,6499.63,85,9,16.33,717.31,1.73,7637,19,1467.09,3.65,533.43,102.47,1.29,0.25
13,New Brunswick,Nouveau-Brunswick,2022-03-19,11,2022,0,45101,2781,5714.59,336,16,42.57,352.37,2.03,6164,27,781.02,3.42,397.29,50.34,2.29,0.29
12,Nova Scotia,Nouvelle-Écosse,2022-03-19,11,2022,0,51359,2888,5177.03,232,14,23.39,291.11,1.41,4270,19,430.42,1.92,412.57,41.59,2.00,0.20
11,Prince Edward Island,Île-du-Prince-Édouard,2022-03-19,11,2022,0,21307,1604,12966.93,16,0,9.74,976.16,0.00,5011,0,3049.57,0,229.14,139.45,0.00,0.00
60,Yukon,Yukon,2022-03-19,11,2022,0,3628,73,8439.96,23,0,53.51,169.82,0.00,143,1,332.67,2.33,10.43,24.26,0.00,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2022-03-19,11,2022,0,9843,329,21631.07,20,0,43.95,723.01,0.00,721,1,1584.48,2.2,47.00,103.29,0.00,0.00
62,Nunavut,Nunavut,2022-03-19,11,2022,0,3331,66,8453.67,5,0,12.69,167.50,0.00,276,0,700.45,0,9.43,23.93,0.00,0.00
99,Repatriated travellers,Voyageurs rapatriés,2022-03-19,11,2022,,13,0,,0,0,,,,0,0,,,0.00,,0.00,
1,Canada,Canada,2022-03-19,11,2022,,3400803,39128,8891.89,37225,325,97.33,102.31,0.85,77867,742,203.59,1.94,5589.71,14.62,46.43,0.12
59,British Columbia,Colombie-Britannique,2022-03-26,12,2022,0,355299,1521,6813.27,2983,17,57.2,29.17,0.33,2980,51,57.14,0.98,217.29,4.17,2.43,0.05
48,Alberta,Alberta,2022-03-26,12,2022,0,536166,1316,12067.99,4044,11,91.02,29.62,0.25,4896,41,110.2,0.92,188.00,4.23,1.57,0.04
47,Saskatchewan,Saskatchewan,2022-03-26,12,2022,0,132224,1196,11206.91,1229,20,104.17,101.37,1.70,2091,53,177.23,4.49,170.86,14.48,2.86,0.24
46,Manitoba,Manitoba,2022-03-26,12,2022,0,135214,1286,9771.46,1744,18,126.03,92.93,1.30,2533,34,183.05,2.46,183.71,13.28,2.57,0.19
35,Ontario,Ontario,2022-03-26,12,2022,0,1151090,14569,7763.85,12397,68,83.62,98.26,0.46,27381,150,184.68,1.01,2081.29,14.04,9.71,0.07
24,Quebec,Québec,2022-03-26,12,2022,0,953498,11216,11081.39,14300,55,166.19,130.35,0.64,18876,146,219.37,1.7,1602.29,18.62,7.86,0.09
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2022-03-26,12,2022,0,36624,2790,7035.59,101,16,19.4,535.97,3.07,6524,25,1253.28,4.8,398.57,76.57,2.29,0.44
13,New Brunswick,Nouveau-Brunswick,2022-03-26,12,2022,0,48197,3096,6106.88,349,13,44.22,392.28,1.65,5877,29,744.65,3.67,442.29,56.04,1.86,0.24
12,Nova Scotia,Nouvelle-Écosse,2022-03-26,12,2022,0,54812,3453,5525.10,245,13,24.7,348.07,1.31,6341,27,639.18,2.72,493.29,49.72,1.86,0.19
11,Prince Edward Island,Île-du-Prince-Édouard,2022-03-26,12,2022,0,23345,2038,14207.21,16,0,9.74,1240.28,0.00,3642,0,2216.43,0,291.14,177.18,0.00,0.00
60,Yukon,Yukon,2022-03-26,12,2022,0,3721,93,8656.31,24,1,55.83,216.35,2.33,166,1,386.17,2.33,13.29,30.91,0.14,0.33
